title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Dil Hai Ke Manta Nahin,1991, Aamir Khan, Pooja Bhatt, Anupam Kher, Robin Bhatt, Mahesh Bhatt,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Life According To Agfa,1992, Gila Almagor, Smadar Kilchinsky, Sharon Alexander, Assi Dayan, Assi Dayan,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
Blood Red Moon,2010, Sarah Lavrisa, Matthew Thomas Rogers, Mark Courneyea, Scott Patrick, Kevin J. Lindenmuth, Anne-Marie Frigon, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
George Stevens: A Filmmaker's Journey,1985, Fred Astaire, Rock Hudson,NA, George Stevens Jr.,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Obsessed of Catale,1965, Raul Cortez,NA,NA, Anselmo Duarte, Jorge Andrade,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Wiggles: Whoo Hoo! Wiggly Gremlins!,2004, Emma Watkins, Anthony Field, Lachlan Gillespie, Martin Murphy,NA,NA, Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Hard Rock Calling 2011,2011, Bon Jovi, Ray Davies, Rod Stewart,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Love City,1986,NA,NA,NA,NA,NA,NA,ScienceFiction,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,
Desire and Hell at Sunset Motel,1991, David Hewlett, Sherilyn Fenn, Whip Hubley, Alien Castle, Alien Castle,NA,Thriller,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Funk,2007, Yumi Saito, Luanda Boaz, Marcia Imperator,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wanted Perfect Mother,1996, Regine Velasquez, Bing Loyzaga, Bobby Andrews, Mel Mendoza-Del Rosario, Ike Jarlego Jr., Mars Ravelo,Romance,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Priyamudan,1998, Vijay, Kausalya, Nasser, Deva, Vincent Selva,NA,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,
Super Sweet 16: The Movie,2007,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Marathon Boy,2010,NA,NA,NA, Gemma Atwal,NA,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,
Chaand Kaa Tukdaa,1994, Salman Khan, Sridevi Kapoor, Anupam Kher, Saawan Kumar Tak, Anwar Khan,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Big Showdown,1973, Charles Heung, Fu-Wan Chin, Tina Chin-Fei, Wong Tin-Lam,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Spooks!,1953, Shemp Howard, Philip Van Zandt, Tom Kennedy, Jules White, Felix Adler,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ted Bundy,2002, Michael Reilly Burke, Boti Bliss, Julianna McCarthy, Matthew Bright, Matthew Bright, Stephen Johnston,Horror,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Alias,2013,NA,NA,NA, Michelle Latimer,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Leg Fighters,1980, Dorian Tan Tao-Liang, Wang Hsieh, Ha Kwong-Li, Lee Tso-Nam, Hsin Yi Chang,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Secrets,1924, Norma Talmadge, Eugene O'Brien, Patterson Dial, Frank Borzage, Frances Marion, Rudolph Besier,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bremen 4: Jigoku no Naka no Tenshi-tachi,1981,NA,NA,NA,NA,NA,NA,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Bushido - Deutschland gib mir ein Mic,2006, Anis Mohamed Youssef Ferchichi, Saad El-Haddad,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hare Remover,1946, Mel Blanc, Arthur Q. Bryan,NA, Frank Tashlin, Carl W. Stalling, Edward Selzer,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Porcel: How to conquer women,1991, Jorge Porcel, Leticia Laurenz, Claudia Sandin, Wilfredo Ferran,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wahnsinn,1919, Conrad Veidt,NA,NA, Conrad Veidt, Hermann Fellner, Margarete Lindau-Schulz, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tribuzy: Execution Live Reunion,2009, Bruce Dickinson,NA,NA,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Felix in Fairyland,1923,NA,NA,NA, Otto Messmer,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Big N' Plenty,2004, Edu Boxer, Carlo Masi, Adam Dexter, John Rutherford,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Bitches,1992, Annabelle Davies, Linda Serbu, Charles Wing, Richard Kern, Richard Kern, Richard Kern,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Land of the Pharaohs,1955, Jack Hawkins, Joan Collins, Dewey Martin, Howard Hawks, William Faulkner, Harry Kurnitz,History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
Jail House Blues,1942, Nat Pendleton, Anne Gwynne, Robert Paige, Albert S. Rogell,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Refrigerator,1991,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Waardenberg & de Jong: Jool Hul,1990,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Outlaw,1943, Jane Russell, Jack Buetel, Thomas Mitchell, Howard Hughes, Howard Hughes, Jules Furthman,Western,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,
Brave Miss World,2013,NA,NA,NA, Cecilia Peck, Cecilia Peck, Inbal B. Lessner, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Small Town Sheriff,1927,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
311: Enlarged to Show Detail,1996, Nick Hexum, Tim Mahoney," Doug ""SA"" Martinez", Mark Kohr,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Princess and the Pea,2002, Amanda Waving, Steven Webb, Dan Finnerty, Mark Swan,NA,NA,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Ten Brothers of Shaolin,1979, Don Wong Tao, Chang Yi, Phillip Ko Fei, Chung Ting, Szeto Man, Tung Hsiang Hsu,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Legendary,2010, John Cena, Patricia Clarkson, Devon Graye, Mel Damski, John Posey, David Calloway, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Fist of Anger,1973, Jackie Chan, Mu Zhu, Hao Li, Mu Zhu, Lan Su,NA,History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,
Biwi No. 1,1999, Salman Khan, Anil Kapoor, Karisma Kapoor, David Dhawan, Kamal Haasan,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Frost Bite,2011, Cassandre Leigh, Cheyenne Buchanan, Arthur Moonin, Joe Davison, Joe Davison,NA,Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Picture Brides,1934, Dorothy Mackaill, Regis Toomey, Alan Hale, Phil Rosen,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Song of the Islands,1942, Betty Grable, Victor Mature, Jack Oakie, Walter Lang, Joseph Schrank, Robert Pirosh,Romance,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haatim Tai,1990, Jeetendra, Sangeeta Bijlani, Sonu Walia, Babubhai Mistri, P.D. Mehra, Zafar Rahi,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Gangaajal,2003, Ajay Devgan, Gracy Singh, Mohan Joshi, Prakash Jha,NA,NA,Foreign,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
Behold The Lamb,2011,NA,NA,NA, John McIlduff,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Russians,2008, Pyotr Barancheev, Albert Filozov, Sergey Glushko, Adel Al-Khadad, Sergey Rusakov,NA,Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Flipper,1996, Elijah Wood, Paul Hogan, Jonathan Banks, Alan Shapiro, Alan Shapiro,NA,Family,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
Ram Avtar,1988, Anil Kapoor, Sunny Deol, Sridevi Kapoor,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zombie Bloodbath 2: Rage of the Undead,1995, Dave Miller, Kathleen McSweeney, Gena Fischer, Todd Sheets, Todd Sheets, Todd Sheets,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Street Kids United,2011,NA,NA,NA, Tim Pritchard,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Stone Roses: Blackpool Live,1991,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stephen Hawking's Grand Design,2012, Stephen Hawking,NA,NA,NA,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Space Station 3D,2002, Tom Cruise, James Arnold, Michael J. Bloomfield, Toni Myers, Toni Myers, Graeme Ferguson, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Narnia Code,2009, James Cosmo,NA,NA, Norman Stone,NA,NA,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
2001 Arizona Diamondbacks: The Official World Series Film,2001,NA,NA,NA,NA,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
2012 Startling New Secrets,2009, Lester Holt, Roland Emmerich, Patrick Geryl,NA,NA,NA,Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
Tassels in the Air,1938, Curly Howard, Larry Fine, Moe Howard, Charley Chase, Elwood Ullman,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alice Helps The Romance,1926, Margie Gay,NA,NA, Walt Disney,NA,NA, Animation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Najib Amhali: Zorg dat je erbij komt,2008, Najib Amhali,NA,NA,NA,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fakers,2010, Greyston Holt, Andrew Francis, Alexia Fast, Pierre Gill, Steven Westren, Jesse McKeown,TVMovie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Fire Brigade,1926, May McAvoy, Charles Ray, Holmes Herbert, William Nigh, Kate Corbaley, Robert N. Lee, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Dil Ne Jise Apna Kahaa,2004, Salman Khan, Preity Zinta, Bhumika Chawla, Atul Agnihotri, Atul Agnihotri,NA,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
I'll Never Forget What's'isname,1967, Orson Welles, Oliver Reed, Carol White, Michael Winner, Peter Draper,NA,Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Flat Top,1952, Sterling Hayden, Richard Carlson, William Phipps, Lesley Selander, Steve Fisher,NA,War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Tsar to Lenin,1937, Max Eastman, Vladimir Ilyich Lenin, Leon Trotsky, Herman Axelbank, Herman Axelbank, Max Eastman,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Emperor's Club,2002, Kevin Kline, Emile Hirsch, Embeth Davidtz, Michael Hoffman, Ethan Canin, Neil Tolkin,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Rocky,1976, Sylvester Stallone, Talia Shire, Burt Young, John G. Avildsen, Sylvester Stallone, Robert Chartoff, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
3 Rivers Progressive Rock Festival,2008,NA,NA,NA,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stagecoach,1986, Willie Nelson, Waylon Jennings, Johnny Cash, Ted Post,NA,NA,Western,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
The Leopard's Spots,1925,NA,NA,NA, Walter Lantz,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder by Contract,1958, Vince Edwards, Phillip Pine, Herschel Bernardi, Leon Chooluck, Irving Lerner, Ben Simcoe,Thriller,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,
Is Spiritualism a Fraud?,1906,NA,NA,NA, J.H. Martin,NA,NA,Horror,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiamat: The Church Of Tiamat,2006, Johan Edlund,NA,NA,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Redemption Impossible,2013,NA,NA,NA, Claus Strigel, Claus Strigel,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wieners,2008, Kenan Thompson, Fran Kranz, Zachary Levi, Mark Steilen, Suzanne Francis, Gabe Grifoni, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiger From River Kwai,1975, George Eastman, Gordon Mitchell, Krung Srivilai, Franco Lattanzi,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Revenge of the Nerds IV: Nerds In Love,1994, Robert Carradine, Curtis Armstrong, Ted McGinley, Steve Zacharias,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Deadrise,2011, Renee O'Connor, Larry Joe Campbell, Grant Krause, Richard Brauer,NA,NA, Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Raising Helen,2004, Kate Hudson, Joan Cusack, Hayden Panettiere, Garry Marshall, Ashok Amritraj, David Hoberman,Romance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Dobus - Suikerspinnen,2010, Patrick Onzia, Peter Bulckaen, Nele Goossens,NA,NA,NA, Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
The Stoning,2006, Haluk Piyes, Cheyenne Rushing,NA, Harald Holzenleiter,NA,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
What is the Electric Car?,2010, Ed Begley Jr., Aaron Berger, Tom Berry, Ken Grant, Ken Grant, Andrew Reilly,Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,
Four Centuries of American Education,1999,NA,NA,NA,NA,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Young and Dangerous 2,1996, Ekin Cheng, Jordan Chan Siu-Chun, Gigi Lai, Andrew Lau Wai-Keung,NA,NA,Thriller,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,
Piano 17,2006, Giampaolo Morelli, Elisabetta Rocchetti, Giuseppe Soleri, Antonio Manetti, Marco Manetti,NA,Crime,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Ivan,1932, Konstantin Bondarevsky, Dmitri Golubinsky, Elena Golki, Ganna Chernyatsina, Aleksandr Dovzhenko, Iosif Shpinel, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Misery,1990, James Caan, Kathy Bates, Richard Farnsworth, Rob Reiner, Stephen King, William Goldman,Thriller,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Lyrical Nitrate,1991, Lyda Borelli, Henny Porten, Anni Timm, Peter Delpeut, Peter Delpeut, Menno Boerema, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Monster a-Go Go,1965, Phil Morton, June Travis, George Perry, Bill Rebane, Herschell Gordon Lewis, Jeff Smith,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
The Big Swallow,1901, Sam Dalton,NA,NA, James Williamson, James Williamson,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder on the Campus,1933, Shirley Grey, Charles Starrett, J. Farrell MacDonald, Richard Thorpe, Whitman Chambers, M.A. Anderson, Mystery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Me and the Kid,1993, Danny Aiello, Alex Zuckerman, Joe Pantoliano, Dan Curtis, Stanley Cohen, Richard Tannenbaum,Family,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
Jason X,2001, Kane Hodder, Lexa Doig, Chuck Campbell, Robin D. Cook, Maxyne Baker, James Isaac,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Andy Parsons: Gruntled,2011, Andy Parsons,NA,NA,NA,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
April Fools,2007,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chinthavishtayaya Shyamala,1998, Sreenivasan, Sangita, Sudheesh, Sreenivasan, Sreenivasan,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Detective Story,1951, Kirk Douglas, Eleanor Parker, William Bendix, William Wyler, Sidney Kingsley, Robert Wyler,Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Donald Applecore,1952, Clarence Nash, Dessie Flynn, James MacDonald, Jack Hannah, Bill Berg, Nick George,Family,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Ghost Blues: Rory Gallagher,2010, Cameron Crowe, Slash, Bob Geldof, Ian Thuillier,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saturday the 14th,1981, Richard Benjamin, Paula Prentiss, Jeffrey Tambor, Howard R. Cohen, Howard R. Cohen, Julie Corman,Horror,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
The Brigand,1961, Francesco Seminario, Adelmo Di Fraia, Serena Vergano, Renato Castellani, Giuseppe Berto, Nino Rota, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Life Begins at Eight-Thirty,1942, Monty Woolley, Ida Lupino, Cornel Wilde, Irving Pichel,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cum Like Crazy,2010, Ferrara Gomez,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hornet's Nest,1970, Rock Hudson, Sylva Koscina, Sergio Fantoni, Phil Karlson, Ennio Morricone,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Space Cowboys,2000, Clint Eastwood, Tommy Lee Jones, Donald Sutherland, Deborah Hopper, Henry Bumstead, Jack G. Taylor Jr.,Thriller,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,
Four Assassins,2013, Will Yun Lee, Miguel Ferrer, Mercedes Renard, Stanley J. Orzel, Stanley J. Orzel,NA, Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
A Kiss for Cinderella,1925, Betty Bronson, Esther Ralston, Henry Vibart, Herbert Brenon,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aaria,1997,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jim Jefferies: Fully Functional,2012, Jim Jefferies,NA,NA, Jay Chapman, Lisa Blum, Jay Karas, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sittin' on a Backyard Fence,1933,NA,NA,NA, Earl Duvall,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Haunting of Sorority Row,2007, Leighton Meester, Kailin See, Lisa Marie Caruk, Bert Kish, Jed Seidel, Michael Vickerman,Thriller,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Tap Roots,1948, Van Heflin, Susan Hayward, Boris Karloff, George Marshall, Walter Wanger,NA,War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Jimmy Page & The Black Crowes - Live at the Greek,1999, Jimmy Page, Chris Robinson, Rich Robinson,NA,NA,NA,Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Dying to Go Home,1996, Diogo Infante, Maria d'Aires, Huub Stapel, Carlos da Silva, George Sluizer,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jason Byrne: Out of the Box,2006, Jason Byrne,NA,NA,NA,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A Drowning Man,2001, Shinya Tsukamoto, Reiko Kataoka,NA, Naoki Ichio,NA,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
